text,Bored,Angry,Sad,Fear,Happy,Excited
irkKus: Indirect cost of the UK being in the EU is estimated to be costing Britain �170 billion per year! BetterOffOut UKIP,0.0977387069,0.3918397287,0.1401817841,0.174987356,0.0911456238,0.1041068006
VIDEO: Sturgeon on post-election deals ,0.0346608964,0.0995220897,0.0369856124,0.1622810618,0.2572600153,0.4092903245
abourEoin: The economy was growing 3 times faster on the day David Cameron became Prime Minister than it is today.. BBCqt �,0.0956028064,0.1925291116,0.226985631,0.2461577504,0.1048006254,0.1339240753
regLauder: the UKIP east lothian candidate looks about 16 and still has an msn addy ,0.1073344285,0.0918445328,0.1504216316,0.3203837993,0.1229262488,0.207089359
hesundaypeople: UKIP's housing spokesman rakes in �800k in housing benefit from migrants.   �,0.0442784724,0.1294262026,0.055743701,0.1135213288,0.2820574419,0.3749728534
igel_Farage: Make sure you tune in to AskNigelFarage tonight on BBC 1 at 22:50! UKIP ,0.0378224421,0.1732920027,0.0052127265,0.0916879797,0.2773137544,0.4146710946
oannetallis: Ed Milliband is an embarrassment. Would you want him representing the UK?!  bbcqt vote onservatives,0.0455059123,0.1270969913,0.0905533067,0.3014801109,0.2346388838,0.200724795
"bstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) �",0.0,0.1126397055,0.0905532339,0.1936006766,0.2860390204,0.3171673635
ivenJ1: �eorge_Osborne: Ed Miliband proved tonight why he's not up to the job� Tbf you've spent 5 years doing that you salivating do�,0.2620155696,0.1956821343,0.0942060818,0.1367200205,0.1427397431,0.1686364508
LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  ,0.0733228995,0.1636446384,0.0882787205,0.1359597181,0.2095328517,0.3292611718
SNP leader faces audience questions ,0.0879634989,0.1629531311,0.1627670694,0.2261096631,0.1367037845,0.223502853
"ononeilluk: Cameron ""Ed Milliband hanging out with Russell Brand. He is a joke. This is an election. This is about real people' http:/�",0.0447149012,0.2160242594,0.3152556035,0.2216311173,0.0995531544,0.1028209643
oliticshome: Ed Miliband: Last Labour government did not overspend  ,0.1173517562,0.2814591681,0.2870300687,0.1898558364,0.0472671298,0.0770360408
"If Miliband is refusing to do any deal with the SNP, how does he plan on forming a government?",0.1112836871,0.4715239092,0.2037704487,0.1491127817,0.0208386859,0.0434704874
cotnotbritt: Well thats it. LABOUR would rather have a TORY government rather than work with the SNP. ,0.0945979573,0.2276184321,0.2832525416,0.2257071337,0.0695197888,0.0993041465
