id,text
593891099434983425,KirkKus: Indirect cost of the UK being in the EU is estimated to be costing Britain £170 billion per year! BetterOffOut UKIP
593891099548094465,VIDEO: Sturgeon on post-election deals 
593891099388846080,LabourEoin: The economy was growing 3 times faster on the day David Cameron became Prime Minister than it is today.. BBCqt 
593891100429045760,GregLauder: the UKIP east lothian candidate looks about 16 and still has an msn addy 
593891100768784384,thesundaypeople: UKIP's housing spokesman rakes in £800k in housing benefit from migrants.   
593891100982546432,Nigel_Farage: Make sure you tune in to AskNigelFarage tonight on BBC 1 at 22:50! UKIP 
593891101154619392,joannetallis: Ed Milliband is an embarrassment. Would you want him representing the UK?!  bbcqt vote Conservatives
593891101452476416,"abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) "
593891101838340096,NivenJ1: “George_Osborne: Ed Miliband proved tonight why he's not up to the job” Tbf you've spent 5 years doing that you salivating do
593891101313896449,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  
593891101766918144,SNP leader faces audience questions 
593891101959917568,"cononeilluk: Cameron ""Ed Milliband hanging out with Russell Brand. He is a joke. This is an election. This is about real people' http:/"
593891102257713152,politicshome: Ed Miliband: Last Labour government did not overspend  
593891102480007169,"If Miliband is refusing to do any deal with the SNP, how does he plan on forming a government?"
593891103100776448,scotnotbritt: Well thats it. LABOUR would rather have a TORY government rather than work with the SNP. 
593891103184551936,Cameron wins last TV contest of election campaign - poll: LONDON (Reuters) - Prime Minister David Cameron won the 
593891102836563969,"stephen501: dunleavy138 CrillyBobc theSNP UKLabour I would be happy to do a deal with the SNP, but Ed_Miliband was clear. If you w"
593891102895296512,"How dare EdMiliband_MP force Socialists to chose between the English LP and the SNP! The SNP are the last, true Socialist party in the UK"
593891103272665088,Watch: Ed Miliband trips off the stage following Question Time leaders special 
593891104870813699,B0MBSKARE the anti-Scottish feeling is largely a product of Tory press scaremongering. In practice most people won't give a toss!
593891105457897472,"Miliband stumbles, Cameron dodges "
593891105935994880,Miliband - I'd pass on PM job rather than do deal with Scots nationalists: LONDON (Reuters) - British Labour Party 
593891106066198529,GloriaDePiero: Nick Clegg is just as responsible for this Govt's failing  plan as David Cameron - he's backed the Tories all the  way
593891106590429185,mykilmarnock: Will the person who dropped a Vote SNP badge please call at Kilmarnock police station to collect it. 
593891106787631104,Markfergusonuk: The Sun’s Twitter worm appears to believe Ed Miliband is winning so far bbcqt 
593891106921799680,"ScottishPleb AHairyBiker 

SNP toxic in England. Why would Labour want to do a deal with them?"
593891107232165888,"KatieKhaleesi: I'm SNPbecause in my entire adult life I've only seen Labour &amp; Tories cause misery, war, and further victimisation of t"
593891107437699072,Jeremy Vine doesn't think the SNP Scottish takeover merits a mention
593891107387375616,"daniloxxv: ""UKIP is the bastard child of the big three parties. With apologies to all bastards."" - PeterTatchell at the University of "
593891107039215616,"“suttonnick: Friday's Times front page:
Miliband savaged for ‘lies’ over spending
tomorrowspaperstoday bbcpapers ”"
593891107857158145,dhothersall: Scenes of celebration in Glasgow as SNP applaud a Conservative victory. Just a bit of fun. Or is it? :-) 
593891108117155840,"KTHopkins SNP thickos look forward to having the balance of power, bringing fair, decent policies that fascists bigots like u detest!"
593891108314308608,LabourEoin: Another humongous lie from David Cameron. He has not clamped down on Tax Avoidance. Uncollected Tax has risen BBCqt http:/
593891108716961792,"my tory dad:
""if UKIP had a chance here I'd definitely vote for them.""

*5 mins later*
""you are so blinkered!!! so closed minded!!""

u sure?"
593891109580967936,"Tonight's polling average: Con 33.7%, Lab 33%, UKIP 13%, Lib Dem 8% and Green 5.7%."
593891110239543296,jsteve372: .mik61scot it's Nicola Sturgeon's new education policy... Improve literacy by getting deprive kids reading words on helicop
593891110616989696,"guardian: Guardian front page, Friday 1 May 2015: Miliband hardens his line: I will not do deal with SNP "
593891110763757568,StephenHep21: ScotlandTonight Ed is free to say he wont do a deal. It is SNP who will never be forgiven if they vote down a Labour go
593891111502016512,Ed_Miliband: I want to be completely clear: there will no coalition and no deals with the SNP. bbcqt
593891111824941056,HuffPostUK: The Tory spin message about David Cameron's performance is a bit obvious bbcqt  
593891111799783424,Nigel_Farage Does Ed's rejection of Lab/SNP deal undermine Cameron's plea to Ukippers to 'come home' on the basis of that proposal?
593891111946551296,"chaos_lane: imagine fighting for us to stay in the union, promising that Scotland's voice will be heard, and then refusing to do a deal"
593891112407924736,Account for every penny? Like you did last time? Your nose should be 2 foot long! 
593891113179750401,ronwindward: JimForScotland Crazy statements like that just confirms to me I made the right decision in leaving Labour for the SNP.Tim
593891113750106112,"Riath84: Great, you reduced the deficit, by killing and shitting on the poor. Good job. Not really something to be bragging about Torie"
593891113481572353,Clegg: Education spending is a coalition 'red line' - ITV News 
593891113498443776,Can you shut the NS down until May 8. Prettyplease 
593891114215723008,Fucking biased BBC allowing Nigel_Farage to have a leadersdebate program all of his own... NigelFarage UKIP GE2015
593891114475716608,"'I'm not going to cave in to the SNP over Trident and the deficit'. 

A left-wing party in favour of nuclear weapons and maintaing austerity"
593891114496729088,"nickgoff79: If Miliband had replied then, ""ah, you work in recruitment? No wonder you're such a dick."" I'd have voted for him. But he d"
593891114744164354,"EllieCumbo: Oh, Tories. Wiz zis message discipline you are really spoiling uz. "
593891114853216257,LeeMartin4947: Miliband on Question Time: I won't have Labour government if it means SNP deal  GE2015
593891116140888065,"joncraig: Scottish audience all address Sturgeon as ""Nicola"". Earlier on QT it was ""Mr Cameron"", ""Mr Miliband"" &amp; ""Mr Clegg"". "
593891116363214848,"ScotlandTonight If Miliband will step aside to let Tories in, we need 59 SNP MPs more than ever to stand up for Scotland theSNP VoteSNP"
593891116405100544,ChristinaSNP: I just heard Milliband's pronouncements........ Oh dear.... Cutting off his nose to spite the Scots.... VoteSNP
593891117269155841,Newsnight or Farage talking cr*p for nearly half an hour. A tough call; though Farage might well melt down yet again w/audience questions..
593891117638254592,Kind of like/support nick clegg hahahaha
593891117525016576,chunkymark: How would labour supporters/country feel if Ed_Miliband let Tories have another 5 years by refusing to have coalition with
593891118045110272,"Couldn't watch the leaders Q&amp;As tonight as I was at a scholarship dinner, but at said dinner I argued Labour doesn't need nor want the SNP"
593891118384869376,"GardhamHT: Scots will never forgive Lab if Tories get in because Miliband refuses to work with SNP, says Stewart Hosie"
593891118867185664,DanHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? 
593891119165001728,"CountryStandard: You Gov Poll Tonight
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
593891119701880833,JimForScotland: Labour has called SNP bluff. The SNP must now be clear: are they willing to prevent or bring down a Labour government &amp;
593891120767225856,"""Making love is not on the cards here, he's a Tory"""
593891120825954304,"Audience member: why are million's more people using foodbanks?
David Cameron: here's a letter saying there's no money left"
593891121111179265,David Cameron hugs another husky in the storms  david Cameron hugahusky davidcamerontweet greatstorm 2013 StJude
593891120913977344,gemini2359: bbcqt Tories 1st introduced PFI In NHS not Labour. Here's Ken Clarke boasting of it. 
593891120989544448,"sunny_hundal: It's far easier for Labour to work as a minority govt than the Tories. Miliband can call SNP's bluff, while Cameron has n"
593891121194995712,Fair point...... 
593891121312440320,labourpress: We learnt the most from the question David Cameron wouldn't answer tonight: clear now the Tories will cut Child Benefit b
593891123149570049,SunNation: SUNNATION EXCLUSIVE: We reveal the man responsible for Ed slipping off the stage...  
593891123183099906,ED MILIBAND FELL OF STAGE... HOW IS HE GOING TO RUN THE COUNTRY?!?!?!????
593891123304787968,"HouseOfTraitors: bbcbias Number of times Party/Leader mentioned tonight on BBCNews 

LAB  14
CON  9
LIB    7
SNP  5
UKIP  0"
593891123292078081,Lou_i5e: RogerV52 UKIP 100% Nigel
593891123325771776,Daniel__Brookes sarahduk121 Nigel_Farage UKIP that's a tad semantic? perhaps we should use recent general election results as best guide
593891123673878528,"britainelects: Latest YouGov poll (29 - 30 Apr):
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
593891123766099970,The historic link between Labour and the trade unions is about to break - thanks to the SNP | via Telegraph 
593891123610963968,jogideon: Ed Miliband's in denial about his past squandering of our money. Don't let him do it again 
593891124680482817,BuntinRobert: Murphy in Scotland insults our intelligence. Milliband in London demeans all Scots. The Scots will not take it lying down
593891124953161728,UKIP TO WIN FARAGEFOREVER
593891125066346497,andrew4mk: Off to Citizens MK assembly to show my commitment to living wage. Another no show from my Tory opponent.
593891125246689280,"paulwaugh: ICM found just 6% bbcqt viewers changed their mind. Small sub sample but: Clegg won 32% of switchers, Cam 25% Ed 20% http:/"
593891126916046849,"LiarMPs: Russell Brand wants to hug people who thinks its ok to chop peoples heads off on our streets.
Miliband is only reaching out to"
593891127197073408,"So, on BBC Question Time's election special interview with the various party leaders, Miliband relented to the... "
593891127545180162,Bbc scotlands entire lead story is 'nicola sturgeon won't rule out what she's already ruled out'
593891127520043008,"WilsonWilson009: Leaked reports that Tories feared ""inevitable ""election defeat so ran a campaign of false flags, muddying of the wate"
593891127918493698,SolManOfficial: Labour will do a deal with SNP make no mistake! Scotland will rule the UK!
593891127918485504,"And like LibDem leader Mr C said, he had to make hard and brave decision 5yrs ago, to save Britain becm like Greece; huge impact stories"
593891128262418433,"benglaze: Great line from Lucy Powell on Miliband's minor trip: ""Ed slipped on David Cameron's sweat."" GE2015 bbcqt"
